"","Cruise","ISO.DateTime.UTC","Year","Day","Month","Latitude","Longitude","absLatitude","Depth","CP","NP","CN","logCP","logNP","logCN","POCavg_uM","PONavg_uM","POPavg_nM","Nitrate","Nitrite","Phosphate","Temperature","Nutricline_1uM_Interp","PAR_MODIS_surfmean_umols","CHLOR_a_MODIS","MLD_Holte17","MLPAR_surfmean_umols","FeT_CESM","sp_Nutlim_CESM2","frac_dia_NOBM","frac_coc_NOBM","frac_cya_NOBM","frac_chloro_NOBM","region","area_weights"
"1","BVAL46",2011-09-28,2011,28,9,33.666,-64.167,33.666,4,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA,0,NA,NA,506.921261574074,0.06582372,34.9461405602849,281.483859495935,0.58357285161037,"PN-colim",0.021779366,0.0011471611,0.5618941,0.41517928,"Subtropical",0.832283226941183
"2","BVAL46",2011-09-29,2011,29,9,35.662,-64.166,35.662,5,NA,NA,NA,NA,NA,NA,NA,NA,9,0,NA,0,NA,NA,493.148148148148,0.10813603,39.8002507993662,223.961825462429,0.489922778797336,"Fe-lim",0.007885455,0.0042063077,0.60516316,0.38274506,"Subtropical",0.812470367446294
"3","BVAL46",2011-09-30,2011,30,9,37.671,-64.159,37.671,5,NA,NA,NA,NA,NA,NA,NA,NA,18,0,NA,0,NA,NA,332.268472222222,0.16768265,48.7555201141051,113.194457568045,0.435650978033664,"Fe-lim",0.0066918214,0.00714267,0.3055842,0.6805813,"Subtropical",0.791532953254339
"4","BVAL46",2011-10-01,2011,1,10,39.453,-64.148,39.453,5,NA,NA,NA,NA,NA,NA,NA,NA,8,0.13,NA,0,26.5,NA,265.092592592593,0.13308956,48.0852532076743,98.7302116555349,0.49214311002288,"Fe-lim",0.104696944,0.010954347,0.13047759,0.7538711,"Subtropical",0.772146101700644
"5","BVAL46",2011-10-05,2011,5,10,31.676,-64.175,31.676,4,NA,NA,NA,NA,NA,NA,NA,NA,10,0.11,NA,0,NA,NA,314.351851851852,0.04877998,46.131468079219,160.828682349909,0.67230430431664,"PN-colim",0.016684635,0.019763395,0.6761129,0.28743908,"Subtropical",0.851031143826603
"6","BVAL46",2011-10-06,2011,6,10,29.665,-64.468,29.665,4,NA,NA,NA,NA,NA,NA,NA,NA,9,0,NA,0,NA,NA,275.763842592593,NA,46.3048608308427,NA,0.794189982116222,"P-lim",0.009178653,0.013689119,0.84472847,0.13240382,"Subtropical",0.868934010829204
"7","BVAL46",2011-10-09,2011,9,10,27.663,-64.769,27.663,5,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,NA,NA,455.439814814815,0.05867794,47.1921385123563,219.240962651853,1.02129162405618,"P-lim",0.010198304,0.0044477494,0.8589782,0.12637576,"Subtropical",0.885693623014967
"8","BVAL46",2011-10-11,2011,11,10,23.667,-65.364,23.667,5,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,0,NA,NA,478.333333333333,0.04424725,42.8230526218036,261.008573970276,1.52208225335926,"P-lim",0.0030734167,0.0014071551,0.894406,0.10111343,"Subtropical",0.915893946751219
"9","BVAL46",2011-10-13,2011,13,10,20.666,-65.817,20.666,4,NA,NA,NA,NA,NA,NA,NA,NA,11,0,NA,0,NA,NA,550.277777777778,0.06722918,21.8011977727136,373.77306269656,1.76938768709078,"P-lim",0.03960135,0.024729244,0.6241053,0.3115642,"Subtropical",0.935653622309785
"10","BVAL46",2011-10-13,2011,13,10,19.667,-65.967,19.667,5,NA,NA,NA,NA,NA,NA,NA,NA,9,0,NA,0,28.7,NA,541.921296296296,0.060009506,28.2907302562738,338.745669471549,1.84443494072184,"P-lim",0.048359886,0.034062248,0.6064588,0.31111908,"Subtropical",0.941664541576091
"11","BVAL46",2011-10-15,2011,15,10,22.667,-65.516,22.667,3,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,0,NA,NA,473.935162037037,0.061208878,29.0610857409177,291.74871923328,1.60525750834495,"P-lim",0.0066220113,0.0026072618,0.8565142,0.1342565,"Subtropical",0.922760202352316
"12","BVAL46",2011-10-16,2011,16,10,24.667,-65.22,24.667,4,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,0,NA,NA,NA,NA,47.762411054492,NA,1.39667734038085,"P-lim",0.0015241256,0.00078938383,0.9593498,0.038336735,"Subtropical",0.908748700981477
"13","BVAL46",2011-10-17,2011,17,10,26.667,-64.917,26.667,5,NA,NA,NA,NA,NA,NA,NA,NA,8,0,NA,0,NA,NA,NA,NA,33.890950397039,NA,1.14372133975849,"P-lim",0.0052436963,0.002636771,0.9160381,0.07608148,"Subtropical",0.893630029300498
"14","BVAL46",2011-10-17,2011,17,10,28.667,-64.616,28.667,3,NA,NA,NA,NA,NA,NA,NA,NA,15,0,NA,0,NA,NA,NA,NA,35.5535430780094,NA,0.91015177895315,"P-lim",0.011183409,0.011230782,0.83686596,0.14071985,"Subtropical",0.877422607081969
"15","BVAL46",2011-10-18,2011,18,10,30.668,-64.32,30.668,4,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,0,NA,NA,NA,NA,33.6555128043306,NA,0.721619726391509,"PN-colim",0.010653748,0.026300384,0.7791129,0.18393302,"Subtropical",0.860137278432441
"16","AE1319",2013-08-15,2013,15,8,31.7,-64.2,31.7,1,328.407224958949,4.92610837438424,66.6666666666667,5.79425437782028,1.59454929994035,4.19970507787993,2,0.03,6.09,NA,NA,0,NA,NA,567.569467592593,0.06504466,20.0053256136862,399.012139269726,0.67230430431664,"PN-colim",0.008687385,0.012341461,0.915452,0.06351915,"Subtropical",0.850811109424051
"17","AE1319",2013-08-17,2013,17,8,37.7,-66.7,37.7,1,257.019438444924,22.3182145428366,11.5161290322581,5.54915171800743,3.10540314071294,2.44374857729449,3.57,0.31,13.89,NA,NA,0,NA,NA,388.518518518519,NA,31.7878760499922,NA,0.522055321198422,"PN-colim",0.025402639,0.009403764,0.269603,0.6955906,"Subtropical",0.79122353296749
