"","Transect","DateTimeUTC","Year","Day","Month","Latitude","Longitude","CP","CN","NP","POCavg","PONavg","POPavg","SurfNO3","SurfPO4","SST","PAR_MODIS","CHLOR_a_MODIS","frac_dia_NOBM","frac_coc_NOBM","frac_cya_NOBM","frac_chloro_NOBM","PO4_WOA","NO3_WOA","SiOH4_WOA","PO4_fill","NO3_fill","Nutcline_WOA_1um","PO4_GLODAP","NO3_GLODAP","Nutcline_GLODAP_1um","MLD_Holte17","SPP_Rich_Righetti19","FeT_CESM","sp_Nutlim_CESM2","PAR_surfmean_umols","MLPAR","Nstar_0","Nstar_0_WOA","Nstar_200_WOA","Nstar_200_GLODAP","frac_euk_NOBM","absLatitude","logCP","logCN","logNP","logPO4_fill","logNO3_fill","logPO4_WOA","logNO3_WOA","logPO4_GLODAP","logNO3_GLODAP","logMLD","logCHLOR_a","logFeT","logMLPAR","region","area_weights"
"1","I9N",2016-03-22 04:00:00,2016,21,3,-31.03351833,110.454745,118.549318549318,7.77147577092511,15.2544152544152,1.88173333333333,0.242133333333333,0.015873,NA,NA,21.3661,30.623997,0.0834498181939125,0.23746082,0.44961515,0.31263345,0.00029058167,0.123749023988843,0.360249578252435,3.69056971120834,0.0803243070989847,0.1,138,0.0803243070989847,0.0808473030254245,111,54.8980613699242,195.66667,0.184177940127484,"N-lim",354.444409722222,138.896902818682,-1.20434161055833,-1.68772788901627,-4.44262620019913,-2.55440877056122,0.44990573167,31.03351833,4.77532906428164,2.05046007825277,2.72486898602887,-2.5216830002361,-2.30258509299405,-2.08949976452328,-1.02095821481121,-2.5216830002361,-2.51519305127144,4.00547803586876,-2.48350980749964,-1.6918529227699,4.93373195159004,"Subtropical",0.856865854083216
"2","I9N",2016-03-22 08:00:00,2016,22,3,-30.847645,109.3879133,160.449947271804,7.75167468629117,20.6987462406749,2.73866666666667,0.3533,0.0170686666666667,NA,NA,21.7643,32.174,0.0779596194624901,0.06280377,0.4632579,0.4738552,8.3152685e-05,0.128180065311492,0.342810708448291,4.07051099824905,0.0850590295493603,0.1,139,0.0850590295493603,0.0782997034862637,111,48.5840926595842,183.21666,0.166660023637632,"N-lim",372.384259259259,162.530338374562,-1.2826447693035,-1.70065845505893,-4.30791250491142,-2.50055924749375,0.463341052685,30.847645,5.07798203892885,2.04790890857519,3.03007313035366,-2.46440979823466,-2.30258509299405,-2.05431924337668,-1.07057685456587,-2.46440979823466,-2.54721146288573,3.88329616579715,-2.55156428554389,-1.79179932819662,5.09086468203356,"Subtropical",0.858533804544951
"3","I9N",2016-03-22 12:00:00,2016,22,3,-30.697225,108.5244233,161.194845321979,7.77950536461176,20.7204491503071,2.85196666666667,0.3666,0.0176926666666667,NA,NA,22.663,30.239998,0.08770905,0.054700825,0.4255252,0.519683,9.1017006e-05,0.128180065311492,0.342810708448291,4.07051099824905,0.0850590295493603,0.1,139,0.0850590295493603,0.0782997034862637,111,48.5840926595842,183.21666,0.166660023637632,"N-lim",349.999976851852,147.524066873719,-1.2826447693035,-1.70065845505893,-4.30791250491142,-2.50055924749375,0.425616217006,30.697225,5.08261385265045,2.05149275835575,3.03112109429471,-2.46440979823466,-2.30258509299405,-2.05431924337668,-1.07057685456587,-2.46440979823466,-2.54721146288573,3.88329616579715,-2.43373019222561,-1.79179932819662,4.99399132771543,"Subtropical",0.859876997655687
"4","I9N",2016-03-22 16:00:00,2016,22,3,-30.53899167,107.6533167,172.809959638451,6.53226846214454,26.4548159096508,3.0399,0.465366666666667,0.017591,NA,NA,20.7011,31.621998,0.0730099231004715,0.06477274,0.4331809,0.50196314,8.3155144e-05,0.133257067032158,0.314897732689977,4.40079963469505,0.0895564433932304,0.1,138,0.0895564433932304,0.0752601112090051,112,44.2939313628803,181.71666,0.149142121713908,"N-lim",365.995347222222,172.892877305112,-1.35764298308268,-1.7274090898633,-4.21885610210895,-2.41067602515221,0.433264055144,30.53899167,5.15219249150561,1.87675427379589,3.27543821770972,-2.41288620004068,-2.30258509299405,-2.01547518145392,-1.15550735099642,-2.41288620004068,-2.58680501615377,3.79084767811593,-2.61715991418861,-1.90285559064404,5.15267219638153,"Subtropical",0.861283564331003
"5","I9N",2016-03-22 20:30:00,2016,22,3,-30.35828167,106.5834183,158.760715577206,7.33657721419443,21.6396162600243,2.48783333333333,0.3391,0.0156703333333333,NA,NA,20.651,35.156,0.07749549,0.05204595,0.36408046,0.583788,8.554248e-05,0.112730737656355,0.289103833124042,4.63701110744476,0.0849804847463965,0.1,138,0.0849804847463965,0.0894715122133493,122,59.4358277615864,187.85,0.152272645880913,"N-lim",406.898148148148,153.827797892319,-1.27021624372899,-1.34870278054476,-4.12694014942646,-2.4634058611393,0.36416600248,30.35828167,5.06739813519373,1.99287241427359,3.07452572092014,-2.46533364007078,-2.30258509299405,-2.18275315637969,-1.24096937123057,-2.46533364007078,-2.41383500366149,4.0848972055096,-2.55753553786453,-1.88208264203489,5.03583378126217,"Subtropical",0.862881894964916
"6","I9N",2016-03-23 00:00:00,2016,22,3,-30.20731667,105.7208333,175.789397275521,7.2907175112895,24.1113987756782,2.42173333333333,0.332166666666667,0.0137763333333333,NA,NA,20.5001,37.003998,0.0787779,0.07279688,0.29886734,0.6280606,0.00027521723,0.118270886555314,0.257262273788452,4.59892074036598,0.0895550058223307,0.1,136,0.0895550058223307,0.0786332402899861,122,36.6633145113172,193.13333,0.138297006897048,"N-lim",428.287013888889,222.226208675744,-1.35424685286731,-1.39000864514708,-4.20785537195206,-2.44586947059631,0.29914255723,30.20731667,5.169286672144,1.98660196522244,3.18268470692156,-2.4129022522909,-2.30258509299405,-2.13477763671851,-1.3576591938864,-2.4129022522909,-2.54296076449311,3.6017766505264,-2.54112277830647,-1.97835168264939,5.40369582108581,"Subtropical",0.864210559268871
"7","I9N",2016-03-23 04:30:00,2016,22,3,-30.04414167,104.78665,178.828089700602,7.48472180750472,23.8924163515731,2.50663333333333,0.3349,0.014017,NA,NA,21.008,35.339996,0.06301376,0.08739169,0.27536994,0.6365477,0.000690661,0.117906450882554,0.211549473255873,4.32018900418282,0.0933831426315009,0.1,134,0.0933831426315009,0.0670549119561911,122,21.3018364089226,215.08333,0.124321382465986,"N-lim",409.027731481482,282.835035055529,-1.42707537014782,-1.42662044638395,-4.01441721582413,-2.50337507486343,0.276060601,30.04414167,5.1864249516341,2.01286385051486,3.17356110111924,-2.37104443578095,-2.30258509299405,-2.13786375807087,-1.55329639174649,-2.37104443578095,-2.70224341382895,3.0587932853803,-2.76440216374077,-2.08488527220273,5.64486381268411,"Subtropical",0.865639938071445
"8","I9N",2016-03-23 12:30:00,2016,23,3,-29.86416333,103.7665767,176.211183301786,7.75940527145756,22.7093671663171,2.29626666666667,0.295933333333333,0.0130313333333333,NA,NA,21.172,31.536,0.04037196,0.08992356,0.2520593,0.6572865,0.00073058537,0.118176022142172,0.15703133469075,3.77225386369228,0.0970452209189534,0.1,133,0.0970452209189534,0.061818412380293,121,35.3756135953919,205.56667,0.111400674940754,"Fe-lim",365,222.856658882055,-1.49090512232296,-1.52123824869096,-3.89193605303764,-2.6097685521841,0.25278988537,29.86416333,5.17168318085113,2.04890569098202,3.12277748986911,-2.33257821407314,-2.30258509299405,-2.13558005294594,-1.85130990953056,-2.33257821407314,-2.7835540239361,3.56602270126575,-3.20961979439171,-2.19462189279318,5.40652877950283,"Subtropical",0.867208367417917
"9","I9N",2016-03-23 16:00:00,2016,23,3,-29.72640833,103.0054317,184.347755455679,8.14827668741026,22.6241403584773,2.26956666666667,0.278533333333333,0.0123113333333333,NA,NA,21.1,35.568,0.043473642,0.09608836,0.23592296,0.6665542,0.0014345243,0.112435297753662,0.0999233167357743,3.13900486958027,0.101676364477724,0.1,132,0.101676364477724,0.0646813399158418,119,45.7906340575599,197.78334,0.102699685975871,"Fe-lim",411.666666666667,217.491027519458,-1.56214049172774,-1.60060977959633,-3.56390584301949,-2.72801962316036,0.2373574843,29.72640833,5.21682394915541,2.09780645549668,3.11901749365873,-2.28596040728653,-2.30258509299405,-2.18537735386754,-2.30335221980285,-2.28596040728653,-2.73828252841109,3.82407957364804,-3.13560045557238,-2.27594621973613,5.38215759689372,"Subtropical",0.868403059181561
"10","I9N",2016-03-23 21:30:00,2016,23,3,-29.51510333,101.7850733,168.616677440207,8.16923632859553,20.6404455273234,2.2607,0.276733333333333,0.0134073333333333,NA,NA,21.2409,35.482,0.046269383,0.091948,0.22784035,0.67745876,0.0027528717,0.109416864484549,0.054751731114462,2.50774952423573,0.107123394403607,0.1,131,0.107123394403607,0.0754828888997435,116,36.9776316894198,192.45,0.0939986970109885,"Fe-lim",410.671296296296,239.072747652053,-1.63849142155796,-1.69966780586913,-3.40552776646614,-2.83829096961021,0.2305932217,29.51510333,5.12762795787748,2.10037543187095,3.02725252600653,-2.23377389024086,-2.30258509299405,-2.21259024653708,-2.9049462922564,-2.23377389024086,-2.58384928550271,3.61031318089623,-3.07327481092629,-2.36447435839343,5.47676788909765,"Subtropical",0.870225861455227
