"","Cruise","ISO.DateTime.UTC","Year","Day","Month","Latitude","Longitude","absLatitude","Depth","CP","NP","CN","logCP","logNP","logCN","POCavg_uM","PONavg_uM","POPavg_nM","Nitrate","Nitrite","Phosphate","Temperature","Nutricline_1uM_Interp","PAR_MODIS_surfmean_umols","CHLOR_a_MODIS","MLD_Holte17","MLPAR_surfmean_umols","FeT_CESM","sp_Nutlim_CESM2","frac_dia_NOBM","frac_coc_NOBM","frac_cya_NOBM","frac_chloro_NOBM","region","area_weights","Omega_P_High","Omega_P_Med","Omega_P_Low","Omega_N_High","Omega_N_Med","Omega_N_Low","Omega_Fe_High","Omega_Fe_Med","Omega_Fe_Low","Theta"
"1","BVAL46",2011-10-01,2011,1,10,39.453,-64.148,39.453,5,NA,NA,NA,NA,NA,NA,NA,NA,8,0.13,NA,0,26.5,NA,265.092592592593,0.13308956,48.0852532076743,98.7302116555349,0.49214311002288,"Fe-lim",0.104696944,0.010954347,0.13047759,0.7538711,"Subtropical",0.772146101700644,1.599194716,2.026015333,1.109232446,-0.363975633,0.233254617,0.203851546,-0.265816037,-0.601208735,0.222527533,0.246226822
"2","BVAL46",2011-10-13,2011,13,10,19.667,-65.967,19.667,5,NA,NA,NA,NA,NA,NA,NA,NA,9,0,NA,0,28.7,NA,541.921296296296,0.060009506,28.2907302562738,338.745669471549,1.84443494072184,"P-lim",0.048359886,0.034062248,0.6064588,0.31111908,"Subtropical",0.941664541576091,1.141670202,1.974059081,0.62742559,0.442986157,0.15955653,-0.056493847,-0.265816037,-0.527729746,0.057740429,0.190666525
"3","AE1319",2013-08-27,2013,27,8,53,-46,53,1,96.2454212454212,12.7289377289377,7.56115107913669,4.56690140056019,2.54387796281393,2.02302343774626,10.51,1.39,109.2,0.16,NA,0.7,NA,NA,307.037037037037,0.86868215,15.8260591136413,142.228580123097,0.26696148688643,"Fe-lim",0.84473246,0.15526755,1.8134406e-15,5.081676e-11,"Subpolar",0.601815023152048,-0.204661331,-0.567900297,-2.603210723,-0.680641479,-0.738260257,0.843424983,-0.265816037,1.133984317,-2.399590735,0.849802246
"4","AE1319",2013-08-29,2013,29,8,49,-40,49,5,117.769454848107,13.1086142322097,8.98412698412698,4.76872894088891,2.57326958907726,2.19545935181165,5.66,0.63,48.06,NA,NA,0,NA,NA,309.189780092593,0.24843511,22.3499889771289,160.737077750208,0.16456038279955,"Fe-lim",0.06874379,0.93125254,8.6953146e-11,3.678202e-06,"Subpolar",0.656059028990507,1.088925797,0.189889274,-0.529364124,-0.763336096,0.033164767,0.008544918,-0.265816037,0.243104458,-0.582593478,0.724270722
"5","AE1319",2013-08-30,2013,30,8,47,-42.5,47,5,110.349330721515,12.7326150832517,8.66666666666667,4.70365106763238,2.54416681827901,2.15948424935337,3.38,0.39,30.63,0.03,NA,0,18.3,NA,367.430532407407,NA,10.9938450756609,NA,0.171133920474631,"Fe-lim",0.8361403,0.16385624,3.3821276e-11,3.507943e-06,"Subpolar",0.681998360062498,1.76355214,0.891063751,-0.353272742,-1.06796891,-0.321393909,0.060276644,-0.265816037,-0.47488772,0.079598856,0.550316167
"6","AE1319",2013-08-31,2013,31,8,45,-45,45,5,133.186571271326,12.1078701155751,11,4.89175093674265,2.49385566394428,2.39789527279837,4.84,0.44,36.34,NA,NA,NA,NA,NA,440.810185185185,0.24376887,13.8464517029949,288.721797458488,0.212918614970192,"Fe-lim",0.9542476,0.039537877,6.4735406e-07,0.0062139165,"Subpolar",0.707106781186548,1.300281683,0.748949673,-0.616776102,-1.06453184,-0.414268632,-0.050967012,-0.265816037,0.106211053,-0.873658094,0.627906901
"7","AE1319",2013-09-01,2013,1,9,43,-47.5,43,5,112.658227848101,9.28270042194093,12.1363636363636,4.72435870325321,2.22815249821128,2.49620620504193,2.67,0.22,23.7,0.09,NA,0,19.4,NA,540.37037037037,0.17161761,14.8100932359459,365.135523286277,0.217075259456578,"Fe-lim",0.9542191,0.010323659,0.0006353789,0.034821745,"Subtropical",0.73135370161917,1.170977433,0.720102068,0.371226914,-0.933705777,-0.200625552,0.661729332,-0.265816037,-0.487523275,-0.565696341,0.518291013
"8","AE1319",2013-09-02,2013,2,9,41,-50,41,5,121.859296482412,7.53768844221105,16.1666666666667,4.80286707164114,2.01991556236581,2.78295150927533,1.94,0.12,15.92,0.01,NA,0,23.7,NA,525.625,0.14631525,34.9499494859246,238.795804296576,0.208153639889019,"Fe-lim",0.08012363,0.15543611,0.14533871,0.6191015,"Subtropical",0.754709580222772,2.213669421,1.351063097,0.271911229,-0.830778478,-0.359787501,0.431887551,-0.24835991,-0.643545574,-0.358477869,0.29279246
"9","AE1319",2013-09-03,2013,3,9,39,-52.5,39,5,169.831223628692,11.6033755274262,14.6363636363636,5.13480514171158,2.45129604952549,2.68350909218609,1.61,0.11,9.48,0.001,NA,0,NA,NA,496.50462962963,0.07313301,45.5119831516821,230.418225670301,0.210920096762379,"Fe-lim",0.01161779,0.08787597,0.4450531,0.45545316,"Subtropical",0.777145961456971,1.249579211,1.916389388,0.68351181,-0.125880048,0.046800953,0.33586125,-0.265816037,-0.632225722,-0.203569336,0.240133547
"10","AE1319",2013-09-04,2013,4,9,37,-55,37,5,177.330895795247,10.9689213893967,16.1666666666667,5.17801745506354,2.39506594578821,2.78295150927533,1.94,0.12,10.94,0.001,NA,0,27,NA,489.583333333333,NA,45.1273921205904,NA,0.247077425456155,"Fe-lim",0.008401362,0.08229898,0.69819283,0.21110685,"Subtropical",0.798635510047293,1.66162272,2.111109452,1.104202498,0.336664216,0.242562597,0.717906644,-0.265816037,-0.655666532,0.384589051,0.159610967
"11","AE1319",2013-09-05,2013,5,9,35,-57.5,35,5,135.389888603256,14.5672664952871,9.29411764705882,4.90815867972255,2.6787769907518,2.22938168897075,1.58,0.17,11.67,0.001,NA,0,NA,NA,340.347199074074,NA,23.3292668498512,NA,0.278453780993004,"Fe-lim",0.0050145625,0.11696947,0.76861346,0.1094025,"Subtropical",0.819152044288992,1.29763305,1.719652454,0.495002288,0.097048714,0.058805236,0.343945167,-0.265816037,-0.680505112,-0.298356868,0.21378131
"12","AE1319",2013-09-06,2013,6,9,33,-60,33,5,233.295583238958,18.1200453001133,12.875,5.45230624716776,2.89701880061796,2.5552874465498,2.06,0.16,8.83,0.001,NA,0,27.5,NA,432.407407407407,NA,24.0288696319129,NA,0.396605912101222,"PN-colim",0.005553361,0.067177236,0.86715716,0.060112268,"Subtropical",0.838670567945424,1.430889147,1.719661982,0.886883631,0.015288693,0.011570812,0.498258743,-0.247247391,-0.626818569,-0.098601753,0.209641575
"13","AE1319",2013-09-08,2013,8,9,31.7,-64.2,31.7,5,144.897959183673,18.3673469387755,7.88888888888889,4.97602976491878,2.91057446521368,2.0654552997051,1.42,0.18,9.8,0.001,NA,0,NA,NA,455.161990740741,0.090058416,29.3488274323809,258.013083268763,0.67230430431664,"PN-colim",0.00876904,0.022382902,0.87337136,0.09547672,"Subtropical",0.850811109424051,1.431400037,1.798249765,0.942289659,-0.189365207,0.181750822,0.596617366,-0.265816037,-0.642907186,0.065584603,0.204499229
"14","NH1418",2014-09-20,2014,20,9,19.001,-158,19.001,2,182.217343578485,26.344676180022,6.91666666666667,5.20520017007872,3.27126621207012,1.9339339580086,1.66,0.24,9.11,0.01,0,NA,NA,NA,614.050925925926,0.055812124,45.5357573831869,306.038248489883,0.102880430857599,"N-lim",0.0022598384,0.008682651,0.8967416,0.09231592,"Subtropical",0.945512893219072,-0.64267801,-0.569569719,0.187475877,0.306409573,0.254820859,0.051089694,-0.265816037,0.056475466,0.30010966,1.549248577
"15","NH1418",2014-09-21,2014,21,9,18.001,-157.65,18.001,5,246.666666666667,26.6666666666667,9.25,5.50803789753011,3.28341434600577,2.22462355152433,1.48,0.16,6,0.01,0,NA,NA,NA,566.087962962963,0.03818771,55.8904925752541,274.981289259546,0.0893569672912875,"Fe-lim",0.0015043553,0.009307448,0.91566926,0.07351896,"Subtropical",0.951051122786303,-0.64949846,-0.573457757,-0.397701624,0.823852084,0.184791712,-0.243940186,-0.265816037,-0.01302606,-0.286365178,1.481070177
"16","NH1418",2014-09-22,2014,22,9,13.002,-155.57,13.002,5,150.137741046832,17.9063360881543,8.38461538461539,5.01155314638648,2.88515462161888,2.12639852476761,1.09,0.13,7.26,0.01,0,NA,28.1,NA,455.393518518518,NA,34.8031427637567,NA,0.0718131210166728,"Fe-lim",0.06654825,0.0017062926,0.3302049,0.6015405,"Tropical",0.974362211918508,-0.678611804,-0.737621427,0.236233974,0.194064182,0.145393911,0.22899365,-0.265816037,1.036434543,0.43738513,1.456157824
"17","NH1418",2014-09-23,2014,23,9,11.999,-155.22,11.999,5,162.393162393162,23.1990231990232,7,5.09002032335082,3.14411017429551,1.94591014905531,1.33,0.19,8.19,0.03,-0.02,NA,28.4,NA,574.467592592593,NA,25.253699089705,NA,0.075525567897694,"Fe-lim",0.11739316,0.0022638324,0.2063234,0.6740196,"Tropical",0.978151229328383,-0.678661988,-0.742294574,0.025484746,0.184386087,0.003439703,0.27789777,-0.250781869,1.396204222,0.066539115,1.389410999
