"","binlat","binlon","Latitude","Longitude","absLatitude","CP","NP","CN","logCP","logNP","logCN","POCavg_uM","PONavg_uM","POPavg_nM","DIN","Phosphate","Temperature","Nutricline_1uM_Interp","sp_Nutlim_CESM2","region","area_weights"
"1","[-56,-55)","[68,69)",-55.5,68.5,55.5,63.7678571428571,10.8214285714286,5.89273927392739,4.1552492568593,2.38152829533416,1.77372096152513,3.571,0.606,56,27.0671239814758,1.75373997431993,1.85210231041908,0,"Fe-lim","Subpolar",0.566406236924833
"2","[-56,-55)","[69,70)",-55.5,69.5,55.5,51.5901639344262,9.11475409836066,5.66007194244604,3.9433310328911,2.20989443007727,1.73343660281382,3.147,0.556,61,26.980164223671,1.75888551127911,1.8328778808713,0,"Fe-lim","Subpolar",0.566406236924833
"3","[-56,-55)","[70,71)",-55.5,70.5,55.5,73.8318584070797,10.929203539823,6.75546558704453,4.30179032418973,2.39143843034974,1.91035189384,4.1715,0.6175,56.5,26.9113044452667,1.76316758972406,1.81181478542089,0,"Fe-lim","Subpolar",0.566406236924833
"4","[-55,-54)","[67,68)",-54.5,67.5,54.5,64.4615384615385,11.4711538461538,5.61944677284158,4.16606874302055,2.43983552295654,1.726233220064,3.352,0.5965,52,27.1578297080994,1.78033058840036,2.09597763901949,0,"Fe-lim","Subpolar",0.58070295571094
"5","[-55,-54)","[68,69)",-54.5,68.5,54.5,67.4509803921569,11.843137254902,5.6953642384106,4.21140111764312,2.47174856521049,1.73965255243263,3.44,0.604,51,27.0434411993027,1.78849078023434,2.05666890388727,0,"Fe-lim","Subpolar",0.58070295571094
"6","[-55,-54)","[71,72)",-54.5,71.5,54.5,63.5,11.5087719298246,5.51753048780488,4.15103990589865,2.44310952110954,1.70793038478911,3.6195,0.656,57,26.6877682666779,1.80076296424866,1.98401243203878,0,"Fe-lim","Subpolar",0.58070295571094
"7","[-54,-53)","[-176,-175)",-53.5,-175.5,53.5,258.160237388724,36.3501483679525,7.10204081632653,5.55358046728436,3.59319828562051,1.96038218166385,3.48,0.49,13.48,13.2724791674614,1.02488998118043,8.92262415504456,0,"Fe-lim","Subpolar",0.594822786751341
"8","[-54,-53)","[66,67)",-53.5,66.5,53.5,50.8333333333333,9.25757575757576,5.49099836333879,3.92855230737936,2.22544221714517,1.70311009023419,3.355,0.611,66,27.1416173686981,1.80690092891455,2.44844014251232,0,"Fe-lim","Subpolar",0.594822786751341
"9","[-54,-53)","[71,72)",-53.5,71.5,53.5,69.2075471698113,12.4339622641509,5.5660091047041,4.23710991982423,2.52043162095039,1.71667829887385,3.668,0.659,53,26.3965401973724,1.83445254260302,2.22654685556889,0,"Fe-lim","Subpolar",0.594822786751341
"10","[-54,-53)","[72,73)",-53.5,72.5,53.5,51.964824120603,9.14572864321608,5.68186813186813,3.95056703046048,2.21328695534635,1.73728007511413,3.447,0.606666666666667,66.3333333333333,26.2170489521027,1.83074418979883,2.2286004294157,0,"Fe-lim","Subpolar",0.594822786751341
"11","[-53,-52)","[66,67)",-52.5,66.5,52.5,60.2710280373832,11.0560747663551,5.45139475908707,4.09885152454847,2.40298002951648,1.69587149503199,3.2245,0.5915,53.5,26.9371380167007,1.83717746460438,2.80027005374432,0,"Fe-lim","Subpolar",0.608761429008721
"12","[-52,-51)","[65,66)",-51.5,65.5,51.5,30.2096774193548,5.46774193548387,5.52507374631268,3.408162317399,1.69886572233536,1.70929659506364,1.873,0.339,62,26.7484736747742,1.82626963460445,3.38359494316578,0,"Fe-lim","Subpolar",0.62251463663762
"13","[-52,-51)","[66,67)",-51.5,66.5,51.5,63.3018867924528,10.622641509434,5.95914742451155,4.14791513585366,2.36298771458757,1.78492742126609,3.355,0.563,53,26.6469228115082,1.84953489530087,3.20416362297535,0,"Fe-lim","Subpolar",0.62251463663762
"14","[-51,-50)","[65,66)",-50.5,65.5,50.5,34.8309402501158,6.46595646132469,5.38681948424069,3.55050607942312,1.86655094580156,1.68395513362157,3.76,0.698,107.95,26.3732039384842,1.79847526735067,3.87257666993141,0,"Fe-lim","Subpolar",0.636078220277764
"15","[-51,-50)","[71,72)",-50.5,71.5,50.5,94.1315789473684,16.6842105263158,5.64195583596215,4.54469357953263,2.81446279471084,1.73023078482179,3.577,0.634,38,24.6024126329422,1.85105085325241,3.40597329640388,0,"Fe-lim","Subpolar",0.636078220277764
"16","[-50,-49)","[60,61)",-49.5,60.5,49.5,51.6630434782609,8.6304347826087,5.98614609571788,3.94474269956497,2.1552948841981,1.78944781536687,4.753,0.794,92,24.7977638320923,1.63633522295952,5.17095024085045,0,"Fe-lim","Subpolar",0.649448048330184
"17","[-50,-49)","[61,62)",-49.5,61.5,49.5,54.6533333333333,10.2533333333333,5.33029908972692,4.00101020696803,2.32760285596933,1.67340735099869,4.099,0.769,75,25.0737155656815,1.64850795251131,5.06646435141563,0,"Fe-lim","Subpolar",0.649448048330184
"18","[-50,-49)","[62,63)",-49.5,62.5,49.5,37.2753623188406,7.85507246376812,4.74538745387454,3.61833258076025,2.06115949684239,1.55717308391786,5.144,1.084,138,25.3491253681183,1.66475587242842,4.92013023877144,0,"Fe-lim","Subpolar",0.649448048330184
"19","[-50,-49)","[63,64)",-49.5,63.5,49.5,53.5272727272727,8.27272727272727,6.47032967032967,3.9801912946163,2.11296423371848,1.86722706089782,5.888,0.91,110,25.6092620916367,1.68493845188618,4.73532552790642,0,"Fe-lim","Subpolar",0.649448048330184
"20","[-50,-49)","[64,65)",-49.5,64.5,49.5,50.8272058823529,8.75735294117647,5.803946263644,3.92843176009454,2.16989368361925,1.75853807647529,4.60833333333333,0.794,90.6666666666667,25.7617127962112,1.70770196217298,4.5382288479805,0,"Fe-lim","Subpolar",0.649448048330184
"21","[-50,-49)","[65,66)",-49.5,65.5,49.5,68.2252252252252,8.6036036036036,7.92984293193717,4.22281436780149,2.1521811391684,2.07063322863309,7.573,0.955,111,25.7614763526916,1.73185453742743,4.34306312346458,0,"Fe-lim","Subpolar",0.649448048330184
"22","[-50,-49)","[66,67)",-49.5,66.5,49.5,69.0102040816327,8.78571428571428,7.8548199767712,4.23425437890437,2.17312702575716,2.06112735314721,6.763,0.861,98,25.6045677433014,1.75569893819094,4.17138542461395,0,"Fe-lim","Subpolar",0.649448048330184
"23","[-50,-49)","[67,68)",-49.5,67.5,49.5,90.1181818181818,9.38181818181818,9.60562015503876,4.50112194024048,2.23877358024909,2.26234835999139,9.913,1.032,110,25.3211051826477,1.77736185437441,4.03439701890945,304,"Fe-lim","Subpolar",0.649448048330184
"24","[-50,-49)","[71,72)",-49.5,71.5,49.5,86,15.8727272727273,5.41809851088202,4.45434729625351,2.76460237060713,1.68974492564638,4.73,0.873,55,23.4930437393188,1.79016554778814,4.08317872035503,0,"Fe-lim","Subpolar",0.649448048330184
"25","[-50,-49)","[72,73)",-49.5,72.5,49.5,87.9578947368421,15.7368421052632,5.58929765886288,4.47685823107592,2.75600459422425,1.72085363685167,8.356,1.495,95,23.0098828058243,1.77245919311047,4.22777134180069,0,"Fe-lim","Subpolar",0.649448048330184
"26","[-50,-49)","[73,74)",-49.5,73.5,49.5,92.5058823529412,16.3588235294118,5.65480043149946,4.5272722355012,2.7947674171837,1.7325048183175,7.863,1.3905,85,22.5491599063873,1.75008173549175,4.40494618964195,0,"Fe-lim","Subpolar",0.649448048330184
"27","[-50,-49)","[75,76)",-49.5,75.5,49.5,133.426966292135,19.9438202247191,6.69014084507042,4.8935542591707,2.99291933217738,1.90063492699333,5.9375,0.8875,44.5,21.7250435094833,1.69699243044853,4.80155055689812,0,"Fe-lim","Subpolar",0.649448048330184
"28","[-49,-48)","[58,59)",-48.5,58.5,48.5,50.7093023255814,9.19767441860465,5.51327433628319,3.92610937158926,2.21895067151415,1.70715870007511,4.361,0.791,86,22.8357112140656,1.55732705909014,5.96653627490997,0,"Fe-lim","Subpolar",0.662620048215738
"29","[-49,-48)","[59,60)",-48.5,59.5,48.5,75.484375,14.265625,5.29134720700986,4.32392568119473,2.6578527972353,1.66607288395944,4.831,0.913,64,23.0266702957153,1.55212460958958,5.91128160643578,0,"Fe-lim","Subpolar",0.662620048215738
"30","[-49,-48)","[64,65)",-48.5,64.5,48.5,53.8333333333333,9.29710144927536,5.79033515198753,3.9858928539946,2.22970267945843,1.75619017453617,3.7145,0.6415,69,24.4399733295441,1.60716998809576,5.05735850763321,0,"Fe-lim","Subpolar",0.662620048215738
